id_extrato,data,historico,documento,valor
E00000,2026-06-20,PIX ENVIADO DA CONCEIÇÃO S/A,DOC100074,-875.2
E00001,2026-06-06,LIQUIDACAO BOLETO FOGAÇA,DOC100281,2115.83
E00002,2026-06-29,TED RECEBIDA FOGAÇA,DOC100025,2958.17
E00003,2026-06-30,TARIFA BANCARIA PIMENTA,DOC100259,-2378.74
E00004,2026-06-28,PIX ENVIADO ABREU,DOC100009,-6086.56
E00005,2026-06-20,PIX ENVIADO ARAGÃO - EI,DOC100103,-930.51
E00006,2026-06-30,TARIFA BANCARIA MARTINS,DOC100178,-9450.49
E00007,2026-06-07,TED RECEBIDA CASA GRANDE REZENDE E FILHOS,DOC100189,23912.21
E00008,2026-06-26,ALUGUEL AZEVEDO,DOC100063,-409.84
E00009,2026-06-11,CREDITO CARTAO AZEVEDO,DOC100118,12982.4
E00010,2026-06-18,RECEBIMENTO CLIENTE CAVALCANTE,DOC100243,2083.38
E00011,2026-06-22,FOLHA DE PAGAMENTO DA MOTA RIOS - ME,DOC100076,-359.87
E00012,2026-06-20,RECEBIMENTO CLIENTE RIBEIRO,DOC100166,2631.89
E00013,2026-06-21,ALUGUEL NOVAES,DOC100175,-107.16
E00014,2026-06-25,DARF COSTELA - ME,DOC100213,-1236.72
E00015,2026-06-29,ALUGUEL ARAÚJO - ME,DOC100085,-15204.39
E00016,2026-06-04,ALUGUEL GUERRA,DOC100188,-11658.26
E00017,2026-06-21,PIX RECEBIDO NOVAES,DOC100134,574.62
E00018,2026-06-18,CREDITO CARTAO DA LUZ VIANA E FILHOS,DOC100318,704.77
E00019,2026-06-02,PIX ENVIADO NUNES S.A.,DOC100240,-8723.01
E00020,2026-06-14,PIX RECEBIDO DA COSTA,DOC100205,12976.98
E00021,2026-06-26,TARIFA BANCARIA MACEDO,DOC100179,-217.0
E00022,2026-06-02,PAGAMENTO FORNECEDOR MACHADO,DOC100200,-15480.43
E00023,2026-06-25,DARF DA LUZ,DOC100110,-8686.98
E00024,2026-06-19,RECEBIMENTO CLIENTE SÁ S/A,DOC100042,4341.07
E00025,2026-06-09,LIQUIDACAO BOLETO NOGUEIRA,DOC100120,24485.35
E00026,2026-06-14,PIX ENVIADO AZEVEDO - ME,DOC100299,-779.15
E00027,2026-06-24,PIX RECEBIDO NUNES SILVA LTDA.,DOC100033,15562.95
E00028,2026-06-15,FOLHA DE PAGAMENTO BARBOSA - EI,DOC100116,-1199.75
E00029,2026-06-21,PIX ENVIADO CASA GRANDE ALVES S/A,DOC100184,-15093.61
E00030,2026-06-15,FOLHA DE PAGAMENTO MONTENEGRO,DOC100128,-6406.33
E00031,2026-06-04,LIQUIDACAO BOLETO DA CONCEIÇÃO MONTENEGRO - EI,DOC100005,10567.03
E00032,2026-06-19,TED RECEBIDA DUARTE,DOC100169,24164.64
E00033,2026-06-10,PIX RECEBIDO AZEVEDO,DOC100253,2901.95
E00034,2026-06-09,DARF BARROS,DOC100302,-231.5
E00035,2026-06-22,PIX ENVIADO DA CRUZ,DOC100078,-500.11
E00036,2026-06-26,PIX RECEBIDO LOPES VIANA - EI,DOC100177,24372.77
E00037,2026-06-06,PAGAMENTO FORNECEDOR PIMENTA,DOC100197,-3591.52
E00038,2026-06-27,ALUGUEL FONSECA,DOC100139,-440.79
E00039,2026-06-07,TARIFA BANCARIA SAMPAIO,DOC100170,-1499.09
E00040,2026-06-27,TED RECEBIDA CÂMARA,DOC100007,22479.94
E00041,2026-06-15,PAGAMENTO FORNECEDOR MARQUES FERREIRA LTDA.,DOC100149,-1423.24
E00042,2026-06-12,DARF DA MOTA,DOC100287,-627.15
