id_razao,data,conta,historico,documento,valor
R00000,2026-06-16,1.1.2.01 - Clientes,PIX RECEBIDO - Andrade,DOC100157,5777.42
R00001,2026-06-30,4.1.3.02 - Despesas Bancarias,TARIFA BANCARIA - Pimenta,DOC100259,-2378.74
R00002,2026-06-04,4.1.2.03 - Despesas com Ocupacao,ALUGUEL - Guerra,DOC100188,-11658.26
R00003,2026-06-04,1.1.2.05 - Operadoras de Cartao,CREDITO CARTAO - Souza,DOC100038,294.18
R00004,2026-06-10,1.1.2.01 - Clientes,PIX RECEBIDO - Montenegro da Luz S.A.,DOC100117,11118.45
R00005,2026-06-04,1.1.2.05 - Operadoras de Cartao,CREDITO CARTAO - Campos,DOC100069,15684.94
R00006,2026-06-05,1.1.2.01 - Clientes,LIQUIDACAO BOLETO - Aparecida,DOC100015,8425.81
R00007,2026-06-03,1.1.2.01 - Clientes,PIX RECEBIDO - Rodrigues Duarte S/A,DOC100030,1113.54
R00008,2026-06-25,2.1.2.01 - Salarios a Pagar,FOLHA DE PAGAMENTO - da Mota Rios - ME,DOC100076,-359.87
R00009,2026-06-22,4.1.3.02 - Despesas Bancarias,TARIFA BANCARIA - Borges e Filhos,DOC100130,-167.72
R00010,2026-06-29,1.1.2.05 - Operadoras de Cartao,CREDITO CARTAO - Cassiano S.A.,DOC100301,959.54
R00011,2026-06-25,2.1.1.01 - Fornecedores,PAGAMENTO FORNECEDOR - Garcia S/A,DOC100017,-118.32
R00012,2026-06-11,2.1.1.01 - Fornecedores,PIX ENVIADO - Pinto,DOC100142,-9675.24
R00013,2026-06-20,2.1.1.01 - Fornecedores,PIX ENVIADO - da Conceição S/A,DOC100074,-875.2
R00014,2026-06-22,1.1.2.01 - Clientes,RECEBIMENTO CLIENTE - Pastor - EI,DOC100071,2774.2
R00015,2026-06-04,2.1.2.01 - Salarios a Pagar,FOLHA DE PAGAMENTO - da Costa Cardoso - ME,DOC100239,-1225.9
R00016,2026-06-21,1.1.2.01 - Clientes,PIX RECEBIDO - Porto,DOC100056,6554.8
R00017,2026-06-12,1.1.2.01 - Clientes,LIQUIDACAO BOLETO - da Cunha,DOC100283,1612.3
R00018,2026-06-03,2.1.2.01 - Salarios a Pagar,FOLHA DE PAGAMENTO - Rios Caldeira Ltda.,DOC100141,-8237.74
R00019,2026-06-10,2.1.1.01 - Fornecedores,PIX ENVIADO - Montenegro,DOC100104,-1923.69
R00020,2026-06-25,1.1.2.01 - Clientes,RECEBIMENTO CLIENTE - Cunha,DOC100066,17112.6
R00021,2026-06-02,2.1.3.01 - Tributos a Recolher,DARF - da Costa Castro S.A.,DOC100143,-6689.53
R00022,2026-05-30,1.1.2.01 - Clientes,LIQUIDACAO BOLETO - Câmara Azevedo Ltda.,DOC100070,1631.77
R00023,2026-06-15,2.1.2.01 - Salarios a Pagar,FOLHA DE PAGAMENTO - Montenegro,DOC100128,-6406.33
R00024,2026-06-19,1.1.2.01 - Clientes,LIQUIDACAO BOLETO - da Luz Gonçalves S.A.,DOC100112,1889.45
R00025,2026-06-13,2.1.1.01 - Fornecedores,PIX ENVIADO - Gomes - ME,DOC100045,-223.84
R00026,2026-06-19,2.1.1.01 - Fornecedores,PIX ENVIADO - Campos Novais - ME,DOC100303,-4044.21
R00027,2026-06-11,4.1.2.03 - Despesas com Ocupacao,ALUGUEL - Siqueira,DOC100261,-3770.39
